title,company,location,skills,url,match_score
Artificial Intelligence Engineer,Skills Alliance,Not specified in the job description,"['Machine Learning', 'Deep Learning', 'PyTorch', 'TensorFlow', 'HPC or cloud computing', 'Bioinformatics (optional)', 'Computational Biology (optional)', 'Multi-omics datasets (optional)']",https://fr.linkedin.com/jobs/view/artificial-intelligence-engineer-at-skills-alliance-4273702021?position=2&pageNum=0&refId=UCkAa1FzwvhKraqEGNb1Mg%3D%3D&trackingId=g7JNR5d8G8OYyoZ5z7Wouw%3D%3D,"High (The candidate has experience in machine learning, deep learning, PyTorch, TensorFlow and is currently studying Data Science. Although the job description mentions bioinformatics and computational biology as a plus, these are not required for the position.)"
ML Engineer - F/H,Niji,"Ile-de-France, France","['TensorFlow', 'PyTorch', 'Deep learning', 'reinforcement learning', 'Docker', 'Kubernetes', 'Dataiku', 'Jenkins', 'Python', 'R', 'Scala', 'SQL']",https://fr.linkedin.com/jobs/view/ml-engineer-f-h-at-niji-4055177016?position=10&pageNum=0&refId=UCkAa1FzwvhKraqEGNb1Mg%3D%3D&trackingId=1dZ3IPFbug%2F558y7f05YiQ%3D%3D,90
AI/ML Engineer,OneSeven Tech,"Miami, Florida, USA","['LangChain orchestration', 'autonomous AI agents', 'Node.js and Python', 'Hugging Face', 'AWS cloud infrastructure']",https://fr.linkedin.com/jobs/view/ai-ml-engineer-at-oneseven-tech-ost-4241290234?position=20&pageNum=0&refId=UCkAa1FzwvhKraqEGNb1Mg%3D%3D&trackingId=glpLNr2i38WlES6qQdvepQ%3D%3D,90
Machine Learning Engineer (NLP),Meltwater,"8, rue du Renard - 75004 Paris","['Machine Learning', 'NLP', 'Python', 'Rust', 'Scala', 'Java', 'AI', 'Generative AI', 'MLOps', 'DevOps', 'CI/CD', 'Terraform', 'Containerization', 'Kubernetes', 'Elasticsearch', 'Quickwit', 'Vespa']",https://fr.linkedin.com/jobs/view/machine-learning-engineer-nlp-at-meltwater-4274385507?position=25&pageNum=0&refId=UCkAa1FzwvhKraqEGNb1Mg%3D%3D&trackingId=CwNYprkqIs625T8i5QUgrA%3D%3D,90
Machine Learning Engineer,Teads,"New York, USA","['Python', 'Java', 'Scala', 'TensorFlow', 'PyTorch']",https://fr.linkedin.com/jobs/view/machine-learning-engineer-at-teads-4247311137?position=37&pageNum=0&refId=UCkAa1FzwvhKraqEGNb1Mg%3D%3D&trackingId=ZzjNN87oHPNWQtUkF6Uj2g%3D%3D,90
AI Full Stack Python Developer,Devoteam AI Apps,"Paris, France","['Python', 'Django', 'Flask', 'FastAPI', 'MySQL', 'PostgreSQL', 'AWS', 'Azure', 'LLMs', 'LangChain', 'LlamaIndex']",https://fr.linkedin.com/jobs/view/ai-full-stack-python-developer-at-devoteam-4251711479?position=58&pageNum=0&refId=UCkAa1FzwvhKraqEGNb1Mg%3D%3D&trackingId=gWLq82yjCpwwChUVM55ecw%3D%3D,90
Machine Learning/AI Engineer,Stakha,"Paris, France","['Python', 'LLMs', 'vector DBs', 'MLOps', 'AWS', 'LangGraph', 'LamaIndex']",https://fr.linkedin.com/jobs/view/machine-learning-ai-engineer-at-stakha-4279655269?position=4&pageNum=0&refId=UCkAa1FzwvhKraqEGNb1Mg%3D%3D&trackingId=42Gw2Ppmi83oLryOULCUGQ%3D%3D,85
Machine Learning Engineer,WHIZE,"Neuilly-Sur-Seine, France","['Connaissance des modèles de langage (LLM) comme GPT, BERT, etc.', 'Développement d’applications qui intègrent des modèles LLM']",https://fr.linkedin.com/jobs/view/machine-learning-engineer-at-whize-4277591474?position=13&pageNum=0&refId=UCkAa1FzwvhKraqEGNb1Mg%3D%3D&trackingId=V6VTG07fobfDQ9k%2BAiosPg%3D%3D,85
AI/ ML Engineer H/F,OVENTI Consulting,La Défense (92),"['Python', 'SQL', 'Shell', 'Scikit-Learn', 'TensorFlow', 'PyTorch', 'MLflow', 'GCP Dataflow', 'BigQuery', 'DBT', 'Kafka', 'GitLab', 'Docker', 'Kubernetes', 'Flamingo', 'Prometheus', 'Grafana', 'Jira', 'Confluence']",https://fr.linkedin.com/jobs/view/ai-ml-engineer-h-f-at-oventi-consulting-4270273403?position=16&pageNum=0&refId=UCkAa1FzwvhKraqEGNb1Mg%3D%3D&trackingId=KXHqrem24EHH6%2Fw%2FZolFkA%3D%3D,85
Machine Learning Engineer,Batch,"Lyon, France","['Go', 'Java', 'LLM', 'Foundation Models', 'MLOps']",https://fr.linkedin.com/jobs/view/machine-learning-engineer-at-batch-4276894826?position=23&pageNum=0&refId=UCkAa1FzwvhKraqEGNb1Mg%3D%3D&trackingId=tkfryTXlyD4Qg0zMNwhAFw%3D%3D,85
