title,url,description
ML Engineer (F/H),https://fr.linkedin.com/jobs/view/ml-engineer-f-h-at-aubay-3927669539?position=1&pageNum=0&refId=UCkAa1FzwvhKraqEGNb1Mg%3D%3D&trackingId=O31b3XXwx%2BNq811YJ8p5pg%3D%3D,"Passionné par la Data et l’innovation à base d’Intelligence Artificielle, vous souhaitez rejoindre une communauté d’experts dans le domaine afin de développer vos compétences en Architecture, Data Engineering et Data Science/IA. Aubay Data & AI, cabinet spécialisé Data de Aubay, renforce ses équipes et recherche des ML Engineers (H/F) pour accompagner nos clients dans l’industrialisation de leurs travaux Data Science/IA afin de leur permettre de concrétiser leur stratégie Data.




Votre quotidien en tant que ML Engineer au sein de Aubay Data & AI :

Identification et préconisation de la plateforme et/ou des outils les plus adaptés au contexte de nos clients pour répondre aux besoins de fonctionnalités MLOps (feature store, code repository, model registry, ML pipeline, metadata store, model serving, model monitoring)
Participation à la définition et à la mise en œuvre de l’architecture des solutions ML en collaboration avec les équipes techniques (architectes, Data Engineers) et métiers (Data Scientists, Business/Data Analysts)
Mise en place de la plateforme ou des outils de gestion du cycle de vie des modèles et des données (MLflow, Kubeflow, Optuna, LakeFS,…)
Définition et mise en place des bonnes pratiques pour l’automatisation, le testing, le versioning, la reproductibilité et le monitoring des modèles déployés
Accompagnement de bout-en-bout des Data Scientists dans le cadre du processus de développement ML (conception, mise en œuvre et gestion) afin de s’assurer que les solutions soient reproductibles, testables et évolutives
Optimisation (voire Refactoring), mise en production et surveillance des modèles déployés sur des environnements « on-premise » ou Cloud
Mise en œuvre d’API pour exposer les modèles sous la forme de services d’entreprise




Votre profil :

Vous disposez d’une formation niveau BAC+5 (Master 2 ou école d’ingénieur) spécialisée en informatique et/ou Data Science
Vous avez déjà une première expérience significative (a minima 3 ans) en ML Engineering (à défaut, en Data Engineering ou en Data Science/IA)
Le Data Engineering est une de vos compétences majeures et les technologies telles que Hadoop, Spark ou Kafka font parties de votre palette de compétences techniques
Vous disposez des fondamentaux en Machine Learning et vous êtes capable d’expliquer les concepts et le fonctionnement des principaux types de modèles
La programmation n’a plus de secret pour vous et vous maitrisez parfaitement Python
Vous avez déjà participé de près ou de loin à un projet DS/IA et vous maîtrisez le mise en œuvre d’au moins un framework de Machine Learning (Tensorflow, Keras, XGBoost, scikit-learn,…)
Vous maîtrisez les tenants et aboutissants de la philosophie DevOps et des outils orientés CI/CD
Vous êtes soucieux de la qualité, de la performance et l’automatisation de vos développements et vous vous intéressez à l’innovation frugale
Vous êtes un expert technique dans votre domaine sans pour autant oublier l’importance d’une communication orale et écrite de qualité et adaptée à chacun de vos interlocuteurs
Vous travaillez au quotidien en mode agile et vous en maitrisez les fondements







Ce qui nous caractérise :

Des missions et projets dans le domaine du Data Engineering en nombre et dans des secteurs variés (Banque, Assurance, Telecom, Industrie,…) qui permettent à nos collaborateurs de monter en compétences et de devenir des experts Data reconnus
De l’apprentissage en continu avec des formations et des certifications sur les technologies Data d’aujourd’hui et de demain
Des experts Data mobilisables pour accompagner et soutenir techniquement les collaborateurs sur leurs projets
Des communautés de savoir-faire Data proposant de manière régulière aux collaborateurs de Aubay du contenu et des évènements de partage (webinar, meetup/afterwork, BBL,…) sur les thématiques suivantes : Data Architecture & Platform, Data Engineering, Modern BI & Analytics, Data Science & AI, …




Votre carrière au sein de Aubay Data & AI :

Vous pourrez rejoindre la BU d’excellence Data et évoluer au sein d’un environnement humain et professionnel de haut niveau. Vous profiterez d’un management sur-mesure pour vous accompagner dans votre trajectoire de carrière
Vous aurez la possibilité de développer et certifier vos compétences sur les dernières technologies Data avec un focus fort sur les plateformes et services Cloud tels qu’Azure Machine Learning, Databricks, Dataiku et Google Cloud Vertex AI
Vous aurez l’opportunité de gagner en responsabilité sur le plan technologique et devenir un Lead (référent technique) auprès de nos clients et des collaborateurs de la communauté Data Science & AI




Notre processus de recrutement :

1er échange RH pour se présenter, vous parler de Aubay Data & AI et voir si nos attentes respectives sont compatibles (durée : 30mn, Teams ou présentiel)
2ème échange avec un(e) expert(e) technique (durée : minimum 1H, Teams ou présentiel)
3ème et dernier échange avec un membre de la direction de la BU Data & AI pour bien comprendre vos ambitions et vos motivations mais aussi pour vous projeter projection sur votre rôle au sein de Aubay Data & AI (durée : 45mn à 1h, Teams ou présentiel)

Show less"
Artificial Intelligence Engineer,https://fr.linkedin.com/jobs/view/artificial-intelligence-engineer-at-skills-alliance-4273702021?position=2&pageNum=0&refId=UCkAa1FzwvhKraqEGNb1Mg%3D%3D&trackingId=g7JNR5d8G8OYyoZ5z7Wouw%3D%3D,"AI Research Engineer – Genomics & Multi‑Omics

About the Role:

We are looking for an AI Research Engineer to develop and deploy advanced machine learning solutions for high‑dimensional multi‑omics datasets. In this role, you will focus on algorithm design, model development, and data integration, enabling discoveries that accelerate trait prediction and functional genomics. You’ll work closely with computational scientists and data engineers, with the opportunity to learn and apply your skills to cutting‑edge biological data. Note, a biology background is not a requirement for this position




Key Responsibilities:

Design and implement ML/AI models for complex, large‑scale datasets, including genomics and other omics modalities.
Apply deep learning, graph-based models, or generative AI to uncover hidden patterns in multi‑omics data.
Prototype proprietory algorithms to advance discovery of biological insights.
Develop predictive and integrative pipelines to support research and product applications.
Collaborate with cross‑functional teams to translate model outputs into actionable insights.
Evaluate emerging AI/ML methods and contribute to the development of scalable internal tools.

Required Qualifications:

M.S. or Ph.D. in Computer Science, AI/ML, Data Science, or a related quantitative field.
Hands‑on experience with machine learning frameworks (e.g., PyTorch, TensorFlow, or JAX).
Strong programming skills in Python and experience with HPC or cloud computing.
Solid knowledge of deep learning, graph methods, or generative modeling for high‑dimensional data.
Strong track record in applied ML/AI research or model development.

Nice to Have:

Exposure to bioinformatics, computational biology, or multi‑omics datasets.
Experience building end‑to‑end ML pipelines, including data preprocessing, feature engineering, and model deployment.
Interest in applying AI to life sciences and learning from domain experts.

Show less"
Machine Learning Engineer,https://fr.linkedin.com/jobs/view/machine-learning-engineer-at-tria-4268977029?position=3&pageNum=0&refId=UCkAa1FzwvhKraqEGNb1Mg%3D%3D&trackingId=gvqp%2BLuG3hRTfTOlhf8WLA%3D%3D,"Deep Learning Engineer – R&D Team (Paris, Hybrid)

Location: Paris, France (3 days/week on-site)

Salary: €65,000 – €80,000




TRIA is working closely with a growing AI company in Paris to hire a Senior Deep Learning Engineer into a high-performing R&D team focused on real-time machine learning and computer vision for physical environments.




This is a key technical role with direct impact on core models and production performance.

About the Role




As a Deep Learning Engineer, you'll contribute to the design and deployment of robust deep learning systems for object tracking, scene understanding and real-time analytics all under the constraints of edge computing.




You’ll work on:

Creating and training deep learning models for detection, classification and tracking tasks.
Adapting and optimising networks for latency, memory and compute constraints.
Experimenting with self-supervised and semi-supervised learning to reduce reliance on labelled datasets.
Innovating around challenges such as dynamic camera movement and occlusion.




This is an applied research role with strong ties to product and engineering where ideas move quickly from concept to implementation.

What We’re Looking For




We’re interested in candidates who bring deep technical knowledge, academic rigour and practical experience in machine learning.




Key qualifications include:

A Master’s or PhD in a relevant field, such as deep learning, computer vision, machine learning, signal processing or similar from a top school.
Hands-on experience with deep learning frameworks such as PyTorch or TensorFlow.
A strong understanding of how to optimise models for real-world use (speed, size, deployment).
Fluency in English. French is not required.

Additional experience with edge deployment, data pipelines or inference optimisation is a plus.




Work Environment

Hybrid: 3 days per week in Paris, with Monday and Friday typically remote.
Additional flexibility: 3 remote working days per quarter.
Salary: €65,000 – €80,000, based on experience and profile.
Collaborative and international R&D team with strong academic and industry backgrounds.




If you're looking for a role where deep learning research meets real-world application and where your work will directly shape product performance then please apply below!”

Show less"
Machine Learning/AI Engineer,https://fr.linkedin.com/jobs/view/machine-learning-ai-engineer-at-stakha-4279655269?position=4&pageNum=0&refId=UCkAa1FzwvhKraqEGNb1Mg%3D%3D&trackingId=42Gw2Ppmi83oLryOULCUGQ%3D%3D,"Stakha est à la recherche d'un.e Machine Learning / AI Engineer pour une startup AI basée à Paris. Leur techno repose sur un mix très avancé pour aider les grandes entreprises à structurer, enrichir et exploiter des documents métiers complexes. On est très loin du simple chatbot sur PDF!




En quelques mots :

Rôle : ML/AI Engineer (équipe core, aux côtés du Senior AI Engineer)

🛠️ Stack : Python, LLMs (GPT, Gemini…), vector DBs (Qdrant), MLOps, AWS, LangGraph, LamaIndex

Mission : Contribuer au développement du moteur GraphRAG, un pipeline de GenAI modulaire et scalable, du prototypage à la mise en prod.




🎯 Profil recherché :

Min 2/3 ans d'XP avec un solide niveau en Python appliqué à la data/ML
Expérience sur des sujets NLP, RAG ou LLMs (Hugging Face, Langchain…)
Connaissances en cloud/MLOps (AWS, Docker, CI/CD, MLflow…)
Envie de contribuer à une techno ambitieuse et de résoudre de vrais problèmes clients avec de l’IA appliquée




💰 Package : Selon profil (55–75k€)

🌍 Localisation : Paris, hybride




🤝 Pourquoi c’est une vraie belle opportunité :

Produit unique et propriétaire, déjà adopté par des grands groupes (Euronext, La Poste, Sia Partners)
Super team tech, low-ego, très R&D driven
8M€ de levée pour accélérer la roadmap GenAI
Forte autonomie, cadre de travail sain et itératif










If you're interested in this opportunity and meet the most essential requirements, don't hesitate to apply!




For more jobs, please visit ➡️ https://www.stakha.io/jobs

Show less"
AI/ML Engineer,https://fr.linkedin.com/jobs/view/ai-ml-engineer-at-lago-4257098466?position=5&pageNum=0&refId=UCkAa1FzwvhKraqEGNb1Mg%3D%3D&trackingId=fHUjMz7oB6G0PRz9sPuaCw%3D%3D,"What You’ll Do


Build AI and ML-powered features related to Lago’s core billing product
Operate services in production to ensure high value delivered to our customers
Manage databases and data pipelines so that we have high quality data feeding into our ML and AI services
Help foster best practices around ML, AI, and data.


What We’re Looking For


Extensive experience building and deploying to production end-to-end machine learning pipelines
Experience building LLM-powered features, especially with AI agents
Proficiency in Python, SQL, and modern software engineering principles
Comfortable with Docker, AWS, git, AI-powered IDEs
Soft skills:
Great communication skills
Problem-solving mentality
A sense of ownership
Ability to work autonomously

Bonus Points

✅ Demonstrable involvement with open-source projects

✅ Prior experience working for fast-moving start-ups

✅ Prior experience and knowledge in fintech

Why Join Lago?


Work on a product loved by engineers and product teams
Join a lean and ambitious team building foundational infrastructure
Contribute to an open-source project with real-world impact
Competitive compensation and early equity in a fast-growing company


Ready to Build with Us?

If you’re excited about joining a high-talent team to solve meaningful problems and help businesses thrive, we’d love to hear from you. Apply today and let’s build something remarkable—together.
Show less"
Machine Learning Engineer (Luxembourg-based),https://fr.linkedin.com/jobs/view/machine-learning-engineer-luxembourg-based-at-sonia-4232939723?position=6&pageNum=0&refId=UCkAa1FzwvhKraqEGNb1Mg%3D%3D&trackingId=Aynfc5JugHBK3Ti%2BxpiT%2Bg%3D%3D,"We're looking for a Machine Learning Engineer with research experience to join our AI team. You'll bridge the gap between research and engineering, implementing and deploying state-of-the-art NLP solutions while maintaining high engineering standards.




Important: This position is based in our Luxembourg office.


Tasks



Implement and adapt latest research in NLP for production use


Develop and deploy efficient RAG systems and fine-tuning pipelines


Design and conduct experiments to validate new approaches


Build and maintain ML pipelines and data processing workflows


Contribute to MLOps practices and infrastructure improvements



Requirements


Required Qualifications:





Master's degree in Computer Science, Engineering, or related technical field


3+ years of hands-on ML engineering experience


Demonstrated research experience (publications, research projects, or industrial research)


Strong programming skills in Python and ML frameworks (PyTorch, JAX)


Experience with latest transformer based architectures


Knowledge of ML deployment and MLOps tools (Docker, MLflow, W&B, DVC)





Nice to Have:





Computer vision experience


ASR experience


Reinforcement learning experience


Experience with multi-modal models


Knowledge of distributed training systems


Open-source contributions


Experience in a startup-like environment


German proficiency is a plus



Benefits



Attractive compensation aligned with your skills


Dynamic workspace in the heart of Luxembourg


Flexible work arrangements


Professional development allowance
Show less"
Machine Learning Engineer,https://fr.linkedin.com/jobs/view/machine-learning-engineer-at-corsearch-4263372606?position=7&pageNum=0&refId=UCkAa1FzwvhKraqEGNb1Mg%3D%3D&trackingId=TYSEdnKhDlT0Qj1pJINlFw%3D%3D,"At Corsearch, we are dedicated to creating a world where consumers can trust the choices they make.

As a global leader in Trademark and Brand Protection, we partner with businesses to safeguard their most valuable assets in an increasingly complex digital environment.

Our comprehensive solutions, powered by AI-driven data and deep analytics, enable brands to establish, monitor, and protect their presence against infringement and counterfeiting.

Why Choose Corsearch?

Innovative Solutions: We combine cutting-edge technology with expert judgment to deliver market-leading services in trademark clearance, brand protection, and anti-counterfeiting.
Global Impact: Trusted by over 5,000 customers worldwide, including 73 of Fortune's Top 100 companies, our work has a meaningful impact on businesses and consumers alike.
Collaborative Culture: With a team of over 1,900 professionals across multiple global offices, you'll be joining an inclusive environment where diverse perspectives thrive.
Mission-Driven Purpose: Our commitment to protecting consumers and their trust in brands drives everything we do, making Corsearch a force for good in the world.

✅The Role

As an ML Engineer you’ll play a crucial role in advancing our shared mission of protecting and enhancing the world’s most valuable brands.

You will design and optimize AI models that power our state-of-the-art image search engine and other innovative solutions.

Collaborating with Corsearch’s global team of data scientists, engineers, and brand protection experts, you’ll help drive innovation in brand protection and online content monitoring, ensuring our clients stay ahead in a rapidly evolving digital landscape.


✅Responsibilities and Duties

Develop and optimize machine learning models with a focus on computer vision (e.g., image recognition, object detection) and NLP (e.g., text classification, sentiment analysis, entity recognition).
Train and fine-tune deep learning models (e.g., CNNs, RNNs, Transformers) for tasks such as reverse image search, image-text matching, and online content analysis.
Collaborate with cross-functional teams to improve product and system performance.
Research and implement state-of-the-art algorithms and techniques to improve the accuracy and performance of AI solutions.
Build scalable data pipelines for the ingestion and processing of image and text data for model training and evaluation.
Continuously monitor the performance of models in production, identify bottlenecks, and propose optimizations.

✅Essential

Proven experience as a Machine Learning Engineer with at least 3 years of professional experience.
Strong proficiency in machine learning frameworks such as CatBoost, TensorFlow, PyTorch, or Keras.
Experience with image processing, feature extraction, and text preprocessing techniques.
Solid understanding of algorithms for tasks such as object detection, image classification, text extraction, and sentiment analysis.
Hands-on experience with large datasets and data pipelines for training and deploying ML models.
Strong analytical and problem-solving skills, with the ability to translate business challenges into technical solutions.
Full professional English proficiency

Corsearch is an equal opportunity and inclusive employer and does not tolerate discrimination of any kind. We are committed to creating a diverse and inclusive workplace where all employees feel valued, respected, and supported. We welcome applications from all individuals regardless of race, nationality, religion, gender, gender identity or expression, sexual orientation, age, disability, or any other protected characteristic. Together, we are working proactively to build a workplace where everyone can belong and be at their best selves. Together, we make an Impact.




Show less"
ML Engineer,https://fr.linkedin.com/jobs/view/ml-engineer-at-nexa-forward-4272816144?position=8&pageNum=0&refId=UCkAa1FzwvhKraqEGNb1Mg%3D%3D&trackingId=r5B7GjiLJ8bHs1bRnQiJsg%3D%3D,"Nexa Forward en détails 🔍




Les entreprises ont besoin d’une nouvelle génération de plateforme d’IA. Nous la développons. Notre force réside dans nos efforts à mettre l’IA au cœur des équipes métiers. Nous facilitons la personnalisation de solutions IA & analytiques pour maximiser l’impact sur le business




Notre plateforme est utilisée au quotidien par des grands comptes (Nestlé, Givaudan, Manutan, Action contre la faim, l’Oréal …) sur des usages exigeants




Bénéfices de rejoindre Nexa Forward





Travailler auprès de notre fondateur et apprendre auprès profils ayant un parcours d’excellence


Tu peux avoir un impact sur la qualité de notre produit


Travailler pour des C-Level et des clients de rayonnement national et international


Travailler sur les dernières technologies data-science


Nos locaux privatifs sont situés dans Paris intra-muros


Salle de sport et détente


Bien sûr, les avantages de Ticket-restaurant


Rémunération attractive





Les valeurs nexa Forward




L’impact 💡





Nous créons des usages qui transforme les performances et les processus métiers


Nous innovons sur des usages à impact positif pour la planète





Engagement 🌍





Nous sommes engagés auprès de nos utilisateurs pour leur faciliter l’adoption de l’IA


Nous sommes engagés en interne à partager, transmettre et progresser tous ensemble





L’excellence 💎 Notre connaissance pointue des technologies et des usages nous permet de proposer des standards élevés


Vos missions


Nos projets sont variés et les missions sur lesquelles tu peux intervenir aussi :





Développement de nouvelles fonctionnalités de ML engineering dans les environnements de nos clients cloud ou on premise. Conseiller, designer, implémenter, tester et accompagner les déploiements en production.


Création de nouveaux algorithmes pour répondre à des enjeux opérationnels pour nos clients.


Participer au développement de notre plateforme interne





En tant que consultant tu intégrera une mission auprès d’un de nos clients sur leur environnement. Tu participeras également à la définition de notre plateforme IA interne.




Tu seras accompagné.e en interne pour monter rapidement en compétences sur nos différents environnements IA pour devenir un expert des sujets et pouvoir accompagner nos clients


Vos compétences


Stack technologique





Langages : Python, SQL


Cloud: Docker, Terraform


IA Gen : LangChain, Embedding, Hugging Face


Data stack: MongoDB , PostgreSQL.


Deployment: Docker, flake8, CI/CD, Airflow, Jenkins





Tu peux être un bon fit si :





Tu es en dernière année d’école d’ingénieur ou équivalent universitaire


Tu as d’excellentes compétences en Python et SQL


Tu es se, dynamique


Tu te passionne pour designer et développer des stacks technos adaptées et performantes


Selon toi, la documentation technique est un “must have” pour pérenniser tes développements.





Soft skills





Tu es intéressé.e pour travailler avec de l’IA en production en particulier sur l’IA Gen


Tu es autonome


Tu cherches à avoir un rôle qui compte et à rejoindre une équipe où tu contribueras à la création de l’histoire de Factonics


Tu sais travailler dans un environnement à évolution rapide


Tu es ambitieux et souhaites te projeter dans l’aventure Factonics.



Avantages


Bénéfices de rejoindre Nexa Forward





Travailler auprès de notre fondateur et apprendre auprès profils ayant un parcours d’excellence


Tu peux avoir un impact sur la qualité de notre produit


Travailler pour des C-Level et des clients de rayonnement national et international


Travailler sur les dernières technologies data-science


Nos locaux privatifs sont situés dans Paris intra-muros


Salle de sport et détente


Bien sûr, les avantages de Ticket-restaurant


Rémunération attractive





👉 Même si tu n’as pas toutes les compétences énoncées, n’hésite pas à postuler. Nous croyons au potentiel de chacun et qu’une expérience sert à apprendre autant qu’à apporter !

Show less"
ML Engineer (MLE),https://fr.linkedin.com/jobs/view/ml-engineer-mle-at-mp-data-4280920029?position=9&pageNum=0&refId=UCkAa1FzwvhKraqEGNb1Mg%3D%3D&trackingId=dLDEy78rzxt0dEfaUqgEuw%3D%3D,"Nous recherchons un profil de ML Engineer (MLE) pour renforcer notre équipe Data dans l'industrie. Vous interviendrez sur plusieurs étapes de projets Data/IA notamment sur la mise en oeuvre d'un plateforme de GenAI sur GCP.

Vos Responsabilités Incluront


L'automatisation du déploiement et l'orchestration des services de GenAI.
La structuration de briques self-service de GenAI à destination de métiers.
Participation à la veille techno, aux choix d'outils et à l'amélioration continue de la stack.
Bac +5 en mathématiques appliquées, informatique, data science ou équivalent.
3 à 5 ans d'expérience professionnelle dans un rôle de MLE (hors stage/alternance).
Expérience dans la mise en oeuvre de solutions de GenAI basées sur les frameworks de type Langchain ou Llamaindex.
Expérience dans l'Infrastructure as Code (Terraform, Ansible) sur GCP et dans l'automatisation en général (CI/CD)
Expérience dans l'utilisation de GCP et de ses services, notamment Cloud Run, GCS et Vertex AI.
Expérience dans la gestion et la ségrégation de la donnée dans des projets GenAI.


Processus


Prise de contact téléphonique (5/10min)
1er entretien : Présentation de vos expériences et projets + présentation globale MP DATA (45min/1h)
Test technique adapté à votre métier et sur un cas d'usage concret
2ème entretien : Entretien Technique (1h)
3ème entretien : Visite de nos locaux à Balma (31130) et échange avec notre Directeur d'Agence
Show less"
ML Engineer - F/H,https://fr.linkedin.com/jobs/view/ml-engineer-f-h-at-niji-4055177016?position=10&pageNum=0&refId=UCkAa1FzwvhKraqEGNb1Mg%3D%3D&trackingId=1dZ3IPFbug%2F558y7f05YiQ%3D%3D,"Nous sommes plus qu’un simple cabinet de conseil, qu'une agence de design et qu'une société de mise en œuvre technologique. Nous sommes le partenaire de la transformation digitale de nos clients grands-comptes et ETI, que nous accompagnons de l’idée à la réalité.

Nous associons, dans une même chaîne de valeur, conseil en stratégie, design de service et design émotionnel, management et valorisation de la donnée, ingénierie et conseil technologique, réalisation logicielle et expertise en cybersécurité.

Notre singularité repose sur les talents pluriels de nos équipes, au service de la satisfaction et de la performance de nos clients.

Le Pôle Data De Niji C'est Avant Tout Une Équipe à Taille Humaine Et Pluridisciplinaire, Composée De Consultants Et Experts Qui Conseillent Et Appuient Nos Clients Sur Toutes Les Étapes Du Cycle Des Données


de la collecte à la valorisation dans des services innovants,
en passant par les architectures de stockage et de services.


Nos consultants sont basés en Ile-de-France et en régions (Nantes, Rennes, Lille, Lyon et Bordeaux).

Nos 3 directeurs : experts confirmés de la gouvernance des données, de la data science de l'IA et des méthodologies d'industrialisation de l'IA (MLOps, DataOps), recherchent de nouveaux talents tous complémentaires avec plusieurs niveaux de qualification et séniorité, qui travailleront en synergie avec la large palette de compétences de Niji en développement, communication, cybersécurité et en conseil.

Intégrer le Pôle Data de Niji c'est avoir l'assurance d'être accompagné dans sa progression et le développement rapide de ses compétences ,vous suivez un parcours de formation riche et diversifié, visant à vous faire rapidement monter en expertise et à vous certifier.

En tant que ML Engineer, vos principales missions seront les suivantes :


Développer et mettre en œuvre des modèles d'apprentissage automatique pour résoudre des problèmes complexes dans divers domaines, en utilisant des techniques telles que le deep learning, le reinforcement learning, etc.
Collaborer avec les équipes de Data Science et les Data Engineers pour collecter, prétraiter et analyser les données nécessaires à la création de modèles efficaces.
Exploiter et optimiser les architectures informatiques et les infrastructures cloud pour garantir des performances optimales des modèles ML en production.
Assurer la mise en place de processus de validation et de tests pour évaluer la qualité et la fiabilité des modèles ML.
Participer au maintien de la documentation technique, les bonnes pratiques et les standards de développement au sein de l'équipe.


Profil recherché

Si Vous


Avez obtenu un diplôme en université, école de commerce ou équivalent type bac +5
Maîtrisez l'anglais à l'écrit comme à l'oral
Avez de solides compréhension des concepts ML, des outils et des frameworks tels que TensorFlow, PyTorch, Scikit-Learn, etc
Maîtrisez les outils d’industrialisation des pipelines data tel que Docker, Kubernetes, Dataiku, Jenkins…
Avez une expérience avec les langages de programmation utilisés dans le domaine des données, tels que : Python,R, Scala, SQL, etc.
Avez une expérience dans la conception et la mise en œuvre de pipelines de données


Alors… Venez participer au dynamisme de notre site en rejoignant notre Team Data Niji !

L'aventure Niji


Process de recrutement : premier contact RH puis rencontre avec nos opérationnels.
Rejoindre l'expérience Niji c'est avoir l'assurance de participer à une aventure humaine dans un environnement de travail motivant, challengeant et innovant.
NijiU: notre plateforme de formation digital learning contenant près de 3 000 modules en accès libre.


Nos valeurs : Audace - Bienveillance - Performance – Talent.

Si ces mots vous parlent, venez faire la différence chez Niji !

En rejoignant Niji, vous intégrez une entreprise dont la politique RSE contribue à la promotion de la diversité et de l’égalité des chances, notamment pour les personnes en situation de handicap.
Show less"
