title,url,description,summary,sentiment,score
Machine Learning Engineer,https://fr.linkedin.com/jobs/view/machine-learning-engineer-at-tria-4268977029?position=3&pageNum=0&refId=In9Xl6q7lY773jyg%2FpTiRQ%3D%3D&trackingId=wFLin9AP5H6Zb0nGSNWUcg%3D%3D,"Deep Learning Engineer – R&D Team (Paris, Hybrid)

Location: Paris, France (3 days/week on-site)

Salary: €65,000 – €80,000




TRIA is working closely with a growing AI company in Paris to hire a Senior Deep Learning Engineer into a high-performing R&D team focused on real-time machine learning and computer vision for physical environments.




This is a key technical role with direct impact on core models and production performance.

About the Role




As a Deep Learning Engineer, you'll contribute to the design and deployment of robust deep learning systems for object tracking, scene understanding and real-time analytics all under the constraints of edge computing.




You’ll work on:

Creating and training deep learning models for detection, classification and tracking tasks.
Adapting and optimising networks for latency, memory and compute constraints.
Experimenting with self-supervised and semi-supervised learning to reduce reliance on labelled datasets.
Innovating around challenges such as dynamic camera movement and occlusion.




This is an applied research role with strong ties to product and engineering where ideas move quickly from concept to implementation.

What We’re Looking For




We’re interested in candidates who bring deep technical knowledge, academic rigour and practical experience in machine learning.




Key qualifications include:

A Master’s or PhD in a relevant field, such as deep learning, computer vision, machine learning, signal processing or similar from a top school.
Hands-on experience with deep learning frameworks such as PyTorch or TensorFlow.
A strong understanding of how to optimise models for real-world use (speed, size, deployment).
Fluency in English. French is not required.

Additional experience with edge deployment, data pipelines or inference optimisation is a plus.




Work Environment

Hybrid: 3 days per week in Paris, with Monday and Friday typically remote.
Additional flexibility: 3 remote working days per quarter.
Salary: €65,000 – €80,000, based on experience and profile.
Collaborative and international R&D team with strong academic and industry backgrounds.




If you're looking for a role where deep learning research meets real-world application and where your work will directly shape product performance then please apply below!”

Show less","Deep Learning Engineer – R&D Team (Paris, Hybrid) Salary: €65,000 – €80,000 (3 days on-site)",POSITIVE,7
Machine Learning Engineer,https://fr.linkedin.com/jobs/view/machine-learning-engineer-at-whize-4277591474?position=5&pageNum=0&refId=In9Xl6q7lY773jyg%2FpTiRQ%3D%3D&trackingId=X4UKF0LBwhDezFrM9iD9Hg%3D%3D,"Welcome To The World Of Whizdom !




Offre d'emploi pour un CDI : Développeur Machine learning (ML)




WHIZE est spécialisée dans le développement de solutions sur mesure en architecture Serverless (Azure, AWS) et de solutions basées sur l'écosystème Microsoft 365 (SharePoint, Teams, Power Platform).




Vos missions :

Développement d’application en lien avec l’exploitation de modèles de types machine learning : prédictions de consommation, maintenance prédictive de nos infrastructures (canalisations, compresseurs, station rebours…), optimisation de stock de matériel, analyses tarifaires, prévention des accidents de personnes et incidents matériels
Développement d’applications permettant aux utilisateurs finaux d’utiliser les modèles LLM pour des cas d’usage de type Chatbot, RAG, synthèse documentaire, l’analyse de documents et d’images, de la génération de texte ou d’image




Profil recherché :

Connaissance des modèles de langage (LLM) comme GPT, BERT, etc.
Développement d’applications qui intègrent des modèles LLM.
Compétences en développement principalement en langage Python, mais des compétences dans d'autres langages tels que Java, C++ ou JavaScript sont également valorisées.
Intelligence Artificielle et Machine Learning : Expérience avec des frameworks Data science comme Scikit Learn.
Bases de Données : Compétence en gestion de bases de données SQL et NoSQL.
Environnement Cloud AWS ou Azure.




Qu’attendez vous pour nous rejoindre ?

Vous ferez partie d’une société à taille humaine et qui bénéficie des avantages d'un grand groupe. Nous adressons une centaine de clients en direct dont la moitié sont des grands comptes.
Vous serez accompagné(e) et managé(e) par le CEO de WHIZE (THE WHIZE MAN).
Vous allez compléter notre équipe dynamique et travailler avec nous dans une ambiance Start-up et conviviale.
Vous occuperez des postes intéressants et évolutifs.
Vous bénéficierez des évènements internes organisés pour parler tech, business et projets.
Vous réaliserez des projets à forte valeur ajoutée.







📍 : Neuilly-Sur-Seine+ Télétravail

Show less",. Welcome To The World Of Whizdom ! Welcome to the World Of WHIZE.,POSITIVE,7
Machine Learning Engineer (Luxembourg-based),https://fr.linkedin.com/jobs/view/machine-learning-engineer-luxembourg-based-at-sonia-4232939723?position=6&pageNum=0&refId=In9Xl6q7lY773jyg%2FpTiRQ%3D%3D&trackingId=KZTqsmBB7BT9VHO3CsNiyg%3D%3D,"We're looking for a Machine Learning Engineer with research experience to join our AI team. You'll bridge the gap between research and engineering, implementing and deploying state-of-the-art NLP solutions while maintaining high engineering standards.




Important: This position is based in our Luxembourg office.


Tasks



Implement and adapt latest research in NLP for production use


Develop and deploy efficient RAG systems and fine-tuning pipelines


Design and conduct experiments to validate new approaches


Build and maintain ML pipelines and data processing workflows


Contribute to MLOps practices and infrastructure improvements



Requirements


Required Qualifications:





Master's degree in Computer Science, Engineering, or related technical field


3+ years of hands-on ML engineering experience


Demonstrated research experience (publications, research projects, or industrial research)


Strong programming skills in Python and ML frameworks (PyTorch, JAX)


Experience with latest transformer based architectures


Knowledge of ML deployment and MLOps tools (Docker, MLflow, W&B, DVC)





Nice to Have:





Computer vision experience


ASR experience


Reinforcement learning experience


Experience with multi-modal models


Knowledge of distributed training systems


Open-source contributions


Experience in a startup-like environment


German proficiency is a plus



Benefits



Attractive compensation aligned with your skills


Dynamic workspace in the heart of Luxembourg


Flexible work arrangements


Professional development allowance
Show less","Machine Learning Engineer. You'll bridge the gap between research and engineering, implementing and deploying state-of-the-art NLP solutions.",POSITIVE,7
Machine Learning Engineer,https://fr.linkedin.com/jobs/view/machine-learning-engineer-at-aspire-life-sciences-search-4280815770?position=7&pageNum=0&refId=In9Xl6q7lY773jyg%2FpTiRQ%3D%3D&trackingId=GzbWSVXWwhsbNTnTngxNtA%3D%3D,"Join a fast-growing team at the forefront of AI-driven drug discovery in life sciences. Our client in San Francisco is using state-of-the-art machine learning to revolutionise how drugs are designed, optimised, and brought to market. As a Machine Learning Engineer, you’ll work on complex biological datasets, from cell imaging to molecular modelling, helping to build AI systems that directly guide scientists in designing safer, more effective treatments.




This is an onsite position based in San Francisco, CA. We're looking for people who would be open to relocating from Europe. Relocation and visa options are available.




What you’ll do




Develop and optimise deep learning models for toxicity prediction, molecular generation, and phenotypic analysis
Work with petabyte-scale biological data, including gene expression, cell imaging, and metabolic profiling
Contribute to multimodal models that integrate clinical, molecular, and experimental data
Collaborate with experts across bioinformatics, chemistry, and AI infrastructure to deliver impactful solutions
Build tools and pipelines that enable rapid experimentation and deployment in a production environment




About you




Strong background in machine learning, with experience in deep learning architectures (e.g. GNNs, transformers)
Skilled in Python and ML frameworks such as PyTorch or TensorFlow
Experience working with large, noisy datasets, ideally in a scientific or biomedical context
Passion for applying AI to real-world challenges in health, drug discovery, or biology
Excited by interdisciplinary work and rapid innovation




This is a unique opportunity to apply your ML skills to problems that truly matter—reshaping the future of medicine with a world-class team at the leading edge of AI and biotech.




Your Consultant




As a Recruitment Consultant at Aspire Life Sciences, Jack Wilson specialises at the intersection of technology and life sciences. He focuses on placing high level AI and Machine Learning talent with leading start-ups across the UK, Europe, and the USA. Jack’s deep industry insight allows him to connect candidates with roles where cutting edge technology meets life changing innovation.

Show less","Join a fast-growing team at the forefront of AI-driven drug discovery in life sciences. As a Machine Learning Engineer, you’ll work on complex biological datasets.",POSITIVE,7
Machine Learning Researcher / Engineer (Foundational Models),https://fr.linkedin.com/jobs/view/machine-learning-researcher-engineer-foundational-models-at-pathway-4267780008?position=8&pageNum=0&refId=In9Xl6q7lY773jyg%2FpTiRQ%3D%3D&trackingId=wd7ONbLE%2BHKD0ysxRBpbog%3D%3D,"About Pathway

Pathway is building LiveAI™ systems that think and learn in real time as humans do. Our mission is to deeply understand how and why LLMs work, fundamentally changing the way models think.

The team is made up of AI luminaries. Pathway's CTO, Jan Chorowski, co-authored papers with Geoff Hinton and Yoshua Bengio and was one of the first people to apply attention to speech. Our CSO, Adrian Kosowski, received his PhD in Theoretical Computer Science at the age of 20 and made significant contributions across numerous scientific fields, including AI and quantum information. He also served as a professor and a coach for competitive programmers at Ecole Polytechnique. The team also includes numerous world's top scientists and competitive programmers, alongside seasoned Silicon Valley executives.

Pathway has strong investor backing. To date, we have raised over $15M; our latest reported round was our seed. Our offices are located in Palo Alto, CA, as well as Paris, France, and Wroclaw, Poland.

The Opportunity

This is an R&D position in attention-based models.

We are currently searching for 1 or 2 R&D Engineers with a strong track record in machine learning models research.

This is an extremely ambitious foundational project. There is a flexible GPU budget associated with this specific project, guaranteed to be in the 7-digit range minimum.

You Will


perform (distributed) model training
help improve/adapt model architectures based on experiment results
design new tasks and experiments
optionally: oversee activities of team members involved in data preparation.


The results of your work will play a crucial role in the success of the project.

Requirements

Cover letter

It's always a pleasure to say hi! If you could leave us 2-3 lines, we'd really appreciate that.

You are expected to meet at least one of the following criteria:


You have published at least one paper at NeurIPS, ICLR, or ICML - where you were the lead author or made significant conceptual & code contributions.
You have significantly contributed to an LLM training effort which became newsworthy (topped a Huggingface benchmark, best in class model, etc.), preferably using multiple GPU's
You have spent at least 6 months working in a leading Machine Learning research center (e.g. at: Google Brain / Deepmind, Apple, Meta, Anthropic, Nvidia, MILA)
You were an ICPC World Finalist, or an IOI, IMO, or IPhO medalist in High School.


You Are


A deep learning researcher, with a track record in Language Models and/or RL (candidates with a Vision or Robotics ML background are also welcome to apply)
Interested in improving foundational architectures and creating new benchmarks
Experienced at hands-on experiments and model training (PyTorch, Jax, or Tensorflow)
Have a good understanding of GPU architecture, memory design, and communication
Have a good understanding of graph algorithms
Have some familiarity with model monitoring, git, build systems, and CI/CD
Respectful of others
Fluent in English


Bonus Points


Knowledge of approaches used in distributed training
Familiarity with Triton
Successful track-record in algorithms & data science contests
Showing a code portfolio


Why You Should Apply


Join an intellectually stimulating work environment
Be a pioneer: you get to work with a new type of ""Live AI"" challenges around long sequences and changing data
Be part of one of an early-stage AI startup that believes in impactful research and foundational changes


Benefits


Type of contract: Full-time, permanent
Preferable joining date: Immediate. The positions are open until filled - please apply immediately
Compensation: six-digit annual salary based on profile and location + Employee Stock Option Plan
Location: Remote work. Possibility to work or meet with other team members in one of our offices: Palo Alto, CA; Paris, France or Wroclaw, Poland. Candidates based anywhere in the EU, UK, United States, and Canada will be considered


If you meet our broad requirements but are missing some experience, don't hesitate to reach out to us.
Show less","Pathway is building LiveAI™ systems that think and learn in real time. Our mission is to deeply understand how and why LLMs work, fundamentally changing the way models think.",POSITIVE,7
AI/ML Engineer,https://fr.linkedin.com/jobs/view/ai-ml-engineer-at-lago-4257098466?position=9&pageNum=0&refId=In9Xl6q7lY773jyg%2FpTiRQ%3D%3D&trackingId=CqrsDYrZVKiaECyyN%2B2F7g%3D%3D,"What You’ll Do


Build AI and ML-powered features related to Lago’s core billing product
Operate services in production to ensure high value delivered to our customers
Manage databases and data pipelines so that we have high quality data feeding into our ML and AI services
Help foster best practices around ML, AI, and data.


What We’re Looking For


Extensive experience building and deploying to production end-to-end machine learning pipelines
Experience building LLM-powered features, especially with AI agents
Proficiency in Python, SQL, and modern software engineering principles
Comfortable with Docker, AWS, git, AI-powered IDEs
Soft skills:
Great communication skills
Problem-solving mentality
A sense of ownership
Ability to work autonomously

Bonus Points

✅ Demonstrable involvement with open-source projects

✅ Prior experience working for fast-moving start-ups

✅ Prior experience and knowledge in fintech

Why Join Lago?


Work on a product loved by engineers and product teams
Join a lean and ambitious team building foundational infrastructure
Contribute to an open-source project with real-world impact
Competitive compensation and early equity in a fast-growing company


Ready to Build with Us?

If you’re excited about joining a high-talent team to solve meaningful problems and help businesses thrive, we’d love to hear from you. Apply today and let’s build something remarkable—together.
Show less",Lago’s new hire will build AI and ML-powered features related to its billing product. They will also manage databases and data pipelines so that we have high quality data feeding into our services.,POSITIVE,7
Machine Learning Researcher/Engineer,https://fr.linkedin.com/jobs/view/machine-learning-researcher-engineer-at-getvocal-ai-4264770716?position=10&pageNum=0&refId=In9Xl6q7lY773jyg%2FpTiRQ%3D%3D&trackingId=xSRGpnOI%2FwazGjKYqzaaVw%3D%3D,"GetVocal AI (GetVocal.ai) is a dynamic startup pioneering the next frontier in voice conversational AI for enterprise solutions. Our groundbreaking product leverages advanced speech recognition and natural language processing technologies to enable seamless interactions between AI systems and human users over the phone. We are committed to revolutionizing customer service and engagement through innovative AI-driven solutions.




We are looking for talented machine learning researchers and engineers specialized in speech and language processing to join our innovative team. You will play a pivotal role in developing and enhancing the capabilities of our conversational AI system, focusing on speech recognition, natural language understanding, generative large language models (LLMs), text-to-speech generation, and realtime multimodal LLMs. You will work closely with cross-functional teams to drive research initiatives and contribute to the advancement of our AI technology.




Responsibilities

• Conduct cutting-edge research in voice conversational AI to improve the performance and accuracy of our system.

• Develop novel algorithms and techniques for speech and language processing, with a focus on real-time applications for phone-based interactions, and integrate them into the company’s products.

• Stay abreast of the latest advancements in speech and language technologies, and proactively identify opportunities for innovation and improvement.

• Contribute to technical documentation, research papers, and patent applications to showcase our innovations and intellectual property.




Qualifications

Master’s or Ph.D. degree in speech processing, natural language processing, or a related field.
Publications at NeurIPS, ICLR, ICML, ACL, NAACL, EMNLP, EACL, CVPR, ICCV, ECCV, ICASSP, INTERSPEECH.
Proficiency in Python and deep learning frameworks such as PyTorch, TensorFlow, JAX.
Prior experience in conversational AI, virtual assistants, or related fields is a plus.
Candidates holding a recent PhD and eligible for a first permanent position (CDI) are especially encouraged to apply.




Benefits

• Highly competitive salary and stock options, commensurate with experience and performance.

• Comprehensive health, dental, and vision insurance plans.

• Flexible work hours and remote work options.

• Dynamic and inclusive work culture with a focus on innovation and teamwork.

Show less",GetVocal AI is pioneering the next frontier in voice conversational AI for enterprise solutions. Our groundbreaking product leverages advanced speech recognition and natural language processing technologies to enable seamless interactions between AI systems and human users over the phone. We are committed to revolutionizing customer service and engagement through innovative,POSITIVE,7
R&D AI Software Engineer / End-to-End Machine Learning Engineer / RAG and LLM,https://fr.linkedin.com/jobs/view/r-d-ai-software-engineer-end-to-end-machine-learning-engineer-rag-and-llm-at-pathway-4267775942?position=11&pageNum=0&refId=In9Xl6q7lY773jyg%2FpTiRQ%3D%3D&trackingId=b9Qvn0YNu6%2FGgWkBK%2FEpcg%3D%3D,"About Pathway

Pathway is building LiveAI™ systems that think and learn in real time as humans do. Our mission is to deeply understand how and why LLMs work, fundamentally changing the way models think.

The team is made up of AI luminaries. Pathway's CTO, Jan Chorowski, co-authored papers with Geoff Hinton and Yoshua Bengio and was one of the first people to apply attention to speech. Our CSO, Adrian Kosowski, received his PhD in Theoretical Computer Science at the age of 20 and made significant contributions across numerous scientific fields, including AI and quantum information. He also served as a professor and a coach for competitive programmers at Ecole Polytechnique. The team also includes numerous world's top scientists and competitive programmers, alongside seasoned Silicon Valley executives.

Pathway has strong investor backing. To date, we have raised over $15M; our latest reported round was our seed. Our offices are located in Palo Alto, CA, as well as Paris, France, and Wroclaw, Poland.

The Opportunity

We are currently searching for 2 ML/AI Engineers with a solid software engineering backbone who are able to prototype, evaluate, improve, and productionize end-to-end Machine Learning projects with enterprise data.

For representative examples of the type of projects you would be expected to create or deliver, see our AI pipelines templates.

If you would consider it would be fun to create a hybrid Vector/Graph index that beats the state of the art on a RAG benchmark, to deliver a working AI pipeline to a client in a critical industry, or to pre-process datasets in a way which would boost LLM accuracy in inference & training - this is the job for you!

You Will


help design experimental end-to-end ML/AI pipelines
contribute to addressing new use cases, beyond state of the art
improve/adapt AI pipelines for production, working directly with client data (often live data streams)
invent ways to pre-process data sources and perform tweaks (reranking, model paramater configuration...) for optimal performance of AI pipelines
design benchmark tasks and perform experiments
build unit tests and implement model monitoring
contribute high-quality production code to our developer frameworks, used by thousands of developers
help to pre-process data sets for LLM training.


The results of your work will play a crucial role in the success of both our developer offering and client delivery.

Requirements

Cover letter

It's always a pleasure to say hi! If you could leave us 2-3 lines, we'd really appreciate that.

You Are


A graduate of a 4+-year university degree in Computer Science, where you have received A-grades in both foundational courses (Algorithms, Computational Complexity, Graph Theory,...) and Machine Learning courses
Passionate about delivering high-quality code and solutions that work
Good with data & engineering innovation in practice - you know how to put things together so that they don't blow up
Experienced at hands-on Machine Learning / Data Science work in the Python stack (notebooks, etc.)
Experienced with model monitoring, git, build systems, and CI/CD
Respectful of others
Curious of new technology - an avid reader of HN, arXiv feeds, AI digests, ..
Fluent in English


Bonus Points


Successful track-record in algorithms (ICPC / IOI), data science contests (Kaggle), or a HuggingFace leaderboard
Showing a code portfolio
PhD in Computer Science
Authoring a paper at major Machine Learning conference
You like playing/tinkering with new tools in the LLM stack
You are already a part of the Pathway community, or have been recognized for your work in one of our bootcamps


Why You Should Apply


Join an intellectually stimulating work environment
Be a technology innovator that makes a difference: your code gets delivered to a community of thousands of developers, and to clients processing billions of records of data
Work in one of the hottest AI startups, that believes in impactful research and foundational changes


Benefits


Type of contract: Full-time, permanent
Preferable joining date: January 2025. The positions are open until filled - please apply immediately
Compensation: competitive base salary (80th to 99th percentile) based on profile and location + Employee Stock Option Plan + possible bonuses if working on client projects. The stated lower band of EUR 72k/ USD 75k for the salary base concerns senior candidates; mid-senior or mid candidates may be considered with adapted salary bands.
Location: Remote work. Possibility to work or meet with other team members in one of our offices: Palo Alto, CA; Paris, France or Wroclaw, Poland. As a general rule, permanent residence will be required in the EU, UK, US, or Canada. (Note for candidates based in India: We are proud to be part of the current Inter-IIT as well as a partner of ICPC India. Top IIT/IIIT graduates are more than welcome to apply regardless of current location.)


If you meet our broad requirements but are missing some experience, don't hesitate to reach out to us.
Show less","Pathway is building LiveAI™ systems that think and learn in real time. Our mission is to deeply understand how and why LLMs work, fundamentally changing the way models think.",POSITIVE,7
Data Scientist,https://fr.linkedin.com/jobs/view/data-scientist-at-qad-4278621119?position=12&pageNum=0&refId=In9Xl6q7lY773jyg%2FpTiRQ%3D%3D&trackingId=3PIWuzrLQbZqDZBcdnks1Q%3D%3D,"Organization OverviewCompany Description

QAD is building a world-class SaaS company, and we are growing. We are looking for talented individuals who want to join us on our mission to help solve relevant real-world problems in manufacturing and the supply chain.

We are a virtual first company and your primary work experience will be virtual / working from your home. Occasional travel to a physical office may be required to enhance working relationships, collaboration, design, strategy and alignment.

Job Description

As a Data Scientist, you will work on advanced AI/ML models, focusing on RAG, LLMs, prompt engineering, and AI Agents. You will collaborate with cross-functional teams to enhance AI capabilities, develop innovative solutions, and optimize machine learning models.

Being a part of the Engineering team, based in the US and Europe, this role will bring you great opportunities to work on various projects, technologies, with a diverse range of teams.

The Engineering team is responsible for the design, development, and deployment of the organization's core products, with a focus on efficiency and speed. We architect and implement comprehensive solutions, including tools and platforms, to address key business requirements. These solutions encompass critical areas such as provisioning, configuration, continuous integration/continuous delivery (CI/CD), monitoring, service level agreements (SLAs), performance optimization, and system uptime. The team is committed to meticulous execution and collaborates extensively with a broad range of stakeholders throughout the product lifecycle.

This is a hybrid (2-3 days from the office) role from France, Paris

What Will You Do


Develop, fine-tune, and optimize Large Language Models (LLMs) and Retrieval-Augmented Generation (RAG) systems.
Implement AI Agents capable of decision-making and interactive learning.
Research and experiment with various prompt engineering techniques to improve model performance and accuracy.
Build and maintain machine learning pipelines for AI/ML models in production environments.
Work with structured and unstructured data, including text, images, and multimodal datasets.
Collaborate with software engineers and data engineers to integrate AI models into scalable applications.
Analyze and interpret model outputs to refine algorithms and improve performance.
Stay updated on the latest AI and ML research and contribute to internal knowledge-sharing initiatives.


Qualifications

Required Qualifications:


Bachelor's or Master's degree in Computer Science, Data Science, Machine Learning, or a related field.
1-2+ years of professional experience
Strong programming skills in Python and familiarity with libraries such as TensorFlow, PyTorch, LangChain, and Hugging Face Transformers.
Experience with NLP, LLM fine-tuning, and retrieval-based systems.
Knowledge of prompt engineering techniques, LLM jailbreak methods and AI Agents.
Understanding of traditional and modern machine learning algorithms, including deep learning architectures.
Familiarity with cloud platforms such as AWS, GCP, or Azure for AI/ML deployments.
Basic understanding of data engineering, ETL pipelines, and model deployment.


Preferred Qualifications


Experience with RAG architectures, vector databases (e.g., FAISS, Pinecone), and embedding models.
Hands-on experience with MLOps, model monitoring, and performance tuning.
Exposure to reinforcement learning and generative AI models.
Strong analytical and problem-solving skills with the ability to work in a fast-paced environment.
Strong communication and presentation skills with the ability to explain technical concepts to non-technical audiences.


Soft Skills


Good collaboration skills at all levels with cross-functional teams
Highly developed ownerships and creative thinking
Analytical thinking and the ability to solve complex problems
Process orientation and ability to build effective solutions
Time management and organizational skills
Fluent English language skills


Additional Information

About QAD and QAD Redzone:

QAD Inc. is a leading provider of adaptive, cloud-based enterprise software and services for global manufacturing companies. Global manufacturers face ever-increasing disruption caused by technology-driven innovation and changing consumer preferences. In order to survive and thrive, manufacturers must be able to innovate and change business models at unprecedented rates of speed. QAD calls these companies Adaptive Manufacturing Enterprises.

QAD Redzone helps to enable QAD’s vision for the Adaptive Enterprise. Labor productivity improvements directly impact efficiency. Productive and empowered employees increase the effective capacity of your plant and accelerate time to productivity for new employees giving manufacturers the agility to increase production beyond what was previously possible without having to invest in production equipment or new plants, and reduce the amount and impact of employee attrition. Empowered employees with a growth mindset take extreme ownership of challenges that impact their production goals, creating resilience in the face of disruption.

We are an Equal Opportunity Employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age, national origin, religion, sexual orientation, gender identity, status as a veteran, and basis of disability or any other federal, state or local protected class.


Show less","QAD is building a world-class SaaS company, and we are growing. We are a virtual first company and your primary work experience will be virtual / working from your home. Occasional travel to a physical office may be required to enhance working relationships.",POSITIVE,7
Machine Learning Engineer,https://fr.linkedin.com/jobs/view/machine-learning-engineer-at-corsearch-4263372606?position=14&pageNum=0&refId=In9Xl6q7lY773jyg%2FpTiRQ%3D%3D&trackingId=P8M%2Fg5PI5Yvo%2BWP3PF5Obw%3D%3D,"At Corsearch, we are dedicated to creating a world where consumers can trust the choices they make.

As a global leader in Trademark and Brand Protection, we partner with businesses to safeguard their most valuable assets in an increasingly complex digital environment.

Our comprehensive solutions, powered by AI-driven data and deep analytics, enable brands to establish, monitor, and protect their presence against infringement and counterfeiting.

Why Choose Corsearch?

Innovative Solutions: We combine cutting-edge technology with expert judgment to deliver market-leading services in trademark clearance, brand protection, and anti-counterfeiting.
Global Impact: Trusted by over 5,000 customers worldwide, including 73 of Fortune's Top 100 companies, our work has a meaningful impact on businesses and consumers alike.
Collaborative Culture: With a team of over 1,900 professionals across multiple global offices, you'll be joining an inclusive environment where diverse perspectives thrive.
Mission-Driven Purpose: Our commitment to protecting consumers and their trust in brands drives everything we do, making Corsearch a force for good in the world.

✅The Role

As an ML Engineer you’ll play a crucial role in advancing our shared mission of protecting and enhancing the world’s most valuable brands.

You will design and optimize AI models that power our state-of-the-art image search engine and other innovative solutions.

Collaborating with Corsearch’s global team of data scientists, engineers, and brand protection experts, you’ll help drive innovation in brand protection and online content monitoring, ensuring our clients stay ahead in a rapidly evolving digital landscape.


✅Responsibilities and Duties

Develop and optimize machine learning models with a focus on computer vision (e.g., image recognition, object detection) and NLP (e.g., text classification, sentiment analysis, entity recognition).
Train and fine-tune deep learning models (e.g., CNNs, RNNs, Transformers) for tasks such as reverse image search, image-text matching, and online content analysis.
Collaborate with cross-functional teams to improve product and system performance.
Research and implement state-of-the-art algorithms and techniques to improve the accuracy and performance of AI solutions.
Build scalable data pipelines for the ingestion and processing of image and text data for model training and evaluation.
Continuously monitor the performance of models in production, identify bottlenecks, and propose optimizations.

✅Essential

Proven experience as a Machine Learning Engineer with at least 3 years of professional experience.
Strong proficiency in machine learning frameworks such as CatBoost, TensorFlow, PyTorch, or Keras.
Experience with image processing, feature extraction, and text preprocessing techniques.
Solid understanding of algorithms for tasks such as object detection, image classification, text extraction, and sentiment analysis.
Hands-on experience with large datasets and data pipelines for training and deploying ML models.
Strong analytical and problem-solving skills, with the ability to translate business challenges into technical solutions.
Full professional English proficiency

Corsearch is an equal opportunity and inclusive employer and does not tolerate discrimination of any kind. We are committed to creating a diverse and inclusive workplace where all employees feel valued, respected, and supported. We welcome applications from all individuals regardless of race, nationality, religion, gender, gender identity or expression, sexual orientation, age, disability, or any other protected characteristic. Together, we are working proactively to build a workplace where everyone can belong and be at their best selves. Together, we make an Impact.




Show less","At Corsearch, we are dedicated to creating a world where consumers can trust the choices they make. We partner with businesses to safeguard their most valuable assets in an increasingly complex digital environment.",POSITIVE,7
